Protocol,direction,security_group_name,security_group_rule_name,Source,Destination ,Ports,ICMP_type,Description,
TCP,Ingress,,,Version 1 (Belfast),-,22,,SSH,
TCP,Ingress,,,Version 1 (India),-,22,,SSH,
TCP,Ingress,,,Version 1 (CA),-,22,,SSH,
TCP,Ingress,,,Version 1 (CS),-,22,,SSH,
TCP,Ingress,,,Wood On-Premise,-,22,,SSH,
TCP,Ingress,,,Wood On-Premise,-,443,,SSH,
TCP,Ingress,,,Wood On-Premise,-,8443,,HTTPS,
TCP,Ingress,,,Wood On-Premise,-,7000-7099,,HTTP/HTTPS WL,
ICMP,Ingress,,,Wood On-Premise,-,-,,,
TCP,Ingress,,,UAT Application Subnet,-,443,,HTTPS,
TCP,Ingress,,,UAT Database Subnet,-,443,,HTTPS,
TCP,Ingress,,,VCN,-,8081,,,
TCP,Ingress,,,Prod Management Subnet,-,443,,,
TCP,Ingress,,,Wood Office,-,22,,SSH,
TCP,Ingress,,,12.222.235.130/32,-,22,,SSH,
-,Egress,,,-,0.0.0.0/0,-,,,
,,,,,,,,,
,,,,,,,,,
TCP,Ingress,OCIUATSL01_EBS,,VCN,-,443,,HTTPS,
TCP,Ingress,,,UAT Load Balancer Subnet,-,8081,,,
TCP,Ingress,,,DevSit Load Balancer Subnet,-,8081,,,
ICMP,Ingress,,,Wood External VPN,-,-,,,
TCP,Ingress,,,Wood External VPN,-,443,,,
TCP,Ingress,,,Wood External VPN,-,80,,,
TCP,Ingress,,,Wood External VPN,-,1521-1599,,,
TCP,Ingress,,,Wood External VPN,-,22,,,
,,,,,,,,,
,,,,,,,,,
TCP,Ingress,OCIUATSL02,,VCN,-,22,,SSH,
TCP,Ingress,,,VCN,-,111,,,
UDP,Ingress,,,VCN,-,111,,,
TCP,Ingress,,,VCN,-,443-452,,HTTPS,
TCP,Ingress,,,VCN,-,2048-2050,,,
UDP,Ingress,,,VCN,-,2048,,,
TCP,Ingress,,,Wood On-Premise,-,22,,SSH,
TCP,Ingress,,,Wood On-Premise,-,80,,HTTP,
TCP,Ingress,,,Wood On-Premise,-,443-452,,HTTPS,
TCP,Ingress,,,Wood On-Premise,-,4443,,,
TCP,Ingress,,,Wood On-Premise,-,4444,,,
TCP,Ingress,,,Wood On-Premise,-,4445,,,
TCP,Ingress,,,Wood On-Premise,-,8443,,HTTPS,
TCP,Ingress,,,Wood On-Premise,-,7000-7099,,HTTP/HTTPS WL,
ICMP,Ingress,,,Wood On-Premise,-,-,,,
TCP,Ingress,,,Wood External VPN,-,80,,,
TCP,Ingress,,,Wood External VPN,-,443,,,
ICMP,Ingress,,,Wood External VPN,-,-,,,
TCP,Ingress,,,UAT DMZ Subnet,-,-,,,
TCP,Ingress,,,Wood External VPN,-,1521-1599,,,
TCP,Ingress,,,Wood External VPN,-,22,,,
TCP,Ingress,,,UAT DMZ Subnet,-,443-452,,,
TCP,Ingress,,,UAT DMZ Subnet,-,8000-8009,,,
-,Egress,,,-,0.0.0.0/0,-,,,
,,,,,,,,,
,,,,,,,,,
TCP,Ingress,OCIUATSL03,,VCN,-,22,,SSH,
TCP,Ingress,,,VCN,-,111,,,
UDP,Ingress,,,VCN,-,111,,,
TCP,Ingress,,,VCN,-,2048-2050,,,
UDP,Ingress,,,VCN,-,2048,,,
TCP,Ingress,,,Wood On-Premise,-,22,,SSH,
TCP,Ingress,,,Wood On-Premise,-,80,,HTTP,
TCP,Ingress,,,Wood On-Premise,-,8443,,HTTPS,
TCP,Ingress,,,Wood On-Premise,-,7000-7099,,HTTP/HTTPS WL,
ICMP,Ingress,,,Wood On-Premise,-,-,,,
TCP,Ingress,,,UAT Management Subnet,-,22,,SSH,
TCP,Ingress,,,UAT Application Subnet,-,111,,,
TCP,Ingress,,,UAT Application Subnet,-,2049,,,
ICMP,Ingress,,,UAT Database Subnet,-,-,,,
ICMP,Ingress,,,UAT Application Subnet,-,-,,,
TCP,Ingress,,,UAT Application Subnet,-,22,,SSH,
TCP,Ingress,,,UAT Application Subnet,-,5556-5557,,,
TCP,Ingress,,,UAT Application Subnet,-,7001-7003,,,
TCP,Ingress,,,UAT Application Subnet,-,17001-17002,,,
TCP,Ingress,,,UAT Application Subnet,-,7201-7202,,,
TCP,Ingress,,,UAT Application Subnet,-,17201-17202,,,
TCP,Ingress,,,UAT Application Subnet,-,7401-7402,,,
TCP,Ingress,,,UAT Application Subnet,-,17401-17402,,,
TCP,Ingress,,,UAT Application Subnet,-,7601-7602,,,
TCP,Ingress,,,UAT Application Subnet,-,17601-17602,,,
TCP,Ingress,,,UAT Application Subnet,-,6801-6802,,,
TCP,Ingress,,,UAT Application Subnet,-,16801-16802,,,
TCP,Ingress,,,UAT Application Subnet,-,1626,,,
TCP,Ingress,,,UAT Application Subnet,-,12345,,,
TCP,Ingress,,,UAT Application Subnet,-,36501-36502,,,
TCP,Ingress,,,UAT DMZ Subnet,-,8000-8001,,,
TCP,Ingress,,,Nonprod VCN,-,7,,,
TCP,Ingress,,,Nonprod VCN,-,7001-7003,,,
TCP,Ingress,,,Nonprod VCN,-,5556-5557,,,
TCP,Ingress,,,Nonprod VCN,-,9556,,,
TCP,Ingress,,,Wood On-Premise,-,6008,,,
TCP,Ingress,,,Wood On-Premise,-,9704,,,
TCP,Ingress,,,Wood External VPN,-,6008,,,
TCP,Ingress,,,Wood External VPN,-,9704,,,
TCP,Ingress,,,Nonprod VCN,-,6000-9999,,,
TCP,Ingress,,,Wood On-Premise,-,9804,,,
TCP,Ingress,,,UAT Application Subnet,-,9804,,,
TCP,Ingress,,,Nonprod VCN,-,9804,,,
TCP,Ingress,,,Prod Management Subnet,-,443,,,
TCP,Ingress,,,Wood External VPN,-,9804,,,
TCP,Ingress,,,Prod VCN,-,9804,,,
ICMP,Ingress,,,Wood External VPN,-,-,,,
TCP,Ingress,,,Wood External VPN,-,443,,,
TCP,Ingress,,,Wood External VPN,-,80,,,
TCP,Ingress,,,Wood External VPN,-,1521-1599,,,
TCP,Ingress,,,Wood External VPN,-,22,,,
TCP,Ingress,,,UAT Application Subnet,-,9556-9557,,,
TCP,Ingress,,,Wood On-Premise,-,9556-9557,,,
TCP,Ingress,,,Wood On-Premise,-,443-452,,,
TCP,Ingress,,,VCN,-,443-452,,,
TCP,Ingress,,,UAT Application Subnet,-,443-452,,,
TCP,Ingress,,,UAT Application Subnet,-,8000-8999,,,
TCP,Ingress,,,Wood On-Premise,-,7002,,,
TCP,Ingress,,,Prod VCN,-,-,,,
TCP,Ingress,,,Wood On-Premise,-,7000-10000,,,
TCP,Ingress,,,Wood On-Premise,-,7001,,,
TCP,Ingress,,,Wood On-Premise,-,7002,,,
TCP,Ingress,,,Wood On-Premise,-,-,,,
